,roles,companies,locations,experience,skills
87,data scientist,microsoft corporation,"['Hyderabad', ' telangana']",0-0 yrs,"['IT Skills', 'Python', 'Testing', 'Data Science', 'Machine Learning', 'Business process', 'Data analysis', 'PAAS']"
88,principal data scientist,"fanatics, inc.",['Hyderabad'],0-0 yrs,"['Procurement', 'Supply chain', 'Computer science', 'Data analysis', 'Analytical', 'Data processing', 'Data mining', 'Monitoring']"
89,data scientist,innomatics research labs,['Hyderabad(Kukatpally)'],0-0 yrs,"['Artificial Intelligence', 'Neural Networks', 'Tableau', 'Machine Learning', 'Statistics', 'Deep Learning', 'SQL', 'Data Science']"
90,associate data scientist,corsalite education services private limited,['Hyderabad'],0-0 yrs,"['IT Skills', 'Python', 'Nginx', 'composer', 'Data Mining', 'Al', 'gunicorn', 'NLTK']"
91,data scientist,aptude software solutions india pvt. ltd.,"['Malaysia', ' Hyderabad(Kothaguda)']",0-0 yrs,"['IT Skills', 'Python', 'Software Development', 'Cloud', 'Project Management', 'Power BI', 'Azure', 'BPO']"
92,associate data scientist,solugenix india private limited,['Hyderabad'],0-0 yrs,"['IT Skills', 'Project Management', 'Big Data', 'AWS', 'Azure', 'BPO', 'project management', 'Cloud computing']"
93,hiring data scientist,icr india certifications private limited,"['Chennai', ' Bengaluru', ' Hyderabad']",0-0 yrs,"['python', 'C++', 'java']"
94,data scientist,makro,['Hyderabad'],0-0 yrs,"['IT Skills', 'Testing', 'Machine Learning', 'Process automation', 'ISMS', 'Helpdesk', 'Pharma', 'ISO 27001']"
95,ai data scientist for large healthcare sw company in hyderabad,human factor corporation,['Hyderabad'],0-0 yrs,"['Artificial Intelligence', 'Hadoop', 'Deep Learning', 'Collaborative Filtering', 'Algorithms', 'Natural Language Processing', 'Data Analytics', 'Machine Learning']"
96,data scientist,cubic transportation systems india pvt. ltd.,['Hyderabad'],0-0 yrs,"['Cloud computing', 'Networking', 'Data management', 'Data modeling', 'Machine learning', 'Data mining', 'Information technology', 'SQL']"
97,job opportunity for data scientist- 3-8 yrs- hyderabad,ntt data,['Hyderabad'],0-0 yrs,"['Data Science', 'Tableau', 'IT Skills', 'Data Science', 'Tableau']"
98,data scientist,airtel payments bank limited,"['Bengaluru', ' Hyderabad', ' Gurgaon']",0-0 yrs,"['Data Science', 'NoSQL', 'Algorithms', 'Linux', 'Business Modeling', 'Artificial Intelligence', 'Machine Learning', 'Statistics']"
99,associate data scientist,aera technology,['Pune'],0-0 yrs,"['IT Skills', 'Python', 'Software Development', 'Data Science', 'Machine Learning', 'Cloud', 'AWS', 'Computer science']"
100,principal data scientist,execboardinasia,['Pune'],11-15 yrs,"['Cloud computing', 'software architecture', 'Data analysis', 'Analytical', 'Machine learning', 'Natural language processing', 'Data mining', 'Team building']"
101,data scientist,sakal media private limited,['Pune'],11-15 yrs,"['Social Network Analysis', 'R', 'Artificial Neural Networks', 'Periscope', 'Data Mining', 'Data Visualization', 'Text Mining', 'Tableau']"
102,data scientist,zerogons softwares india pvt ltd,['Pune'],11-15 yrs,"['IT Skills', 'Python', 'Django', 'Data Scientist', 'Statistics', 'Python']"
103,chief data scientist with an leading learning organisation,skillventory,['Bengaluru'],11-15 yrs,"['Data Science', 'R', 'Data Mining', 'Python']"
104,lead data scientist,springlr,['Gurgaon'],11-15 yrs,"['IT Skills', 'Python', 'Data Science', 'Machine Learning', 'Computer science', 'Career development', 'deep learning', 'Machine learning']"
105,data scientist,american express global business travel,['Gurgaon'],11-15 yrs,"['Operations research', 'data science', 'Travel management', 'Machine learning', 'Data quality', 'big data', 'Operations', 'Statistics']"
106,associate data scientist | gurgaon |1.5-3 years | gurgaon,xtage labs,"['Delhi NCR', ' Gurgaon']",11-15 yrs,"['IT Skills', 'Data Science', 'Machine Learning', 'Data Science', 'R', 'Advanced Analytics', 'Statistical Modeling', 'Marketing Analytics']"
107,graph data scientist,bigshyft hiring for payu,"['Mumbai', ' Bengaluru']",11-15 yrs,"['janusgraph', 'Neural Networks', 'Natural Language Processing NLP', 'Machine Learning ML', 'Python']"
108,data scientist - nlp/deep learning,talpro,['Mumbai'],11-15 yrs,"['IT Skills', 'Python', 'Data Science', 'Data Science', 'Tensorflow', 'Open Source', 'NLP', 'Data Scientist']"
109,sr data scientist,bigshyft hiring for embibe,['Bengaluru'],11-15 yrs,"['NLP - Natural Language Processing', 'R', 'Statistical Modelling', 'MATLAB', 'Python']"
110,senior data scientist,bion,['Bengaluru'],11-15 yrs,"['IT Skills', 'Java', 'J2EE', 'HTML', 'Javascript', 'senior data scientist', 'large - scale compuations', 'Artificial Intelligence']"
111,sr.data scientist,bigshyft hiring for kredx,['Bengaluru'],11-15 yrs,"['Hadoop', 'Data Mining', 'Machine Learning ML', 'Statistical Modelling', 'Python']"
112,senior data scientist,bigshyft hiring for draup,['Bengaluru'],11-15 yrs,"['Spark', 'Aws', 'Natural Language Processing NLP', 'Deep Learning', 'Python']"
113,senior data scientist,bigshyft hiring for thoughtfocus,['Bengaluru'],11-15 yrs,"['Scala', 'Hadoop', 'SciKit-Learn', 'Big data', 'Spark']"
114,only fresher / data scientist / python/tableau/ data analyst - mnc osc,gaba consultancy services,"['Lucknow', ' Chandigarh', ' Jaipur']",11-15 yrs,"['O2C', 'fresher data analyst', 'Power Bi', 'Banking', 'Data Management', 'Tableau', 'Marketing Analytics', 'graduate fresher']"
115,trainee-freshers-machine learning-ai-data scientist,aerofolic business solution,['Bengaluru'],11-15 yrs,"['Natural Language Processing', 'Machine Learning', 'Python']"
116,"software engineer (.net, iot, cloudops, data scientist)",vedlogic solutions pvt. ltd.,['Ahmedabad(Prahlad Nagar)'],11-15 yrs,"['IT Skills', 'Javascript', 'Mqtt', 'MS CRM', 'Artificial Intelligence', 'CI CD', 'ASP.Net MVC', 'Devops']"
117,data scientist,yash technologies pvt ltd,['Indore'],11-15 yrs,"['IT Skills', 'Python', 'Quality Assurance', 'Cloud', 'Big Data', 'Tableau', 'Power BI', 'Azure']"
118,staff data scientist,integral ad science,['Remote'],11-15 yrs,"['Computer science', 'global operations', 'Computer vision', 'GCP', 'Neural networks', 'Machine learning', 'IAS', 'Analytics']"
119,data scientist,algoscale technologies private limited,['Noida'],11-15 yrs,"['IT Skills', 'Java', 'Python', 'Testing', 'Data Science', 'Machine Learning', 'Cloud', 'AWS']"
120,data scientist,yash technologies pvt ltd,['Indore'],3-8 yrs,"['IT Skills', 'Python', 'Quality Assurance', 'Cloud', 'Big Data', 'Tableau', 'Power BI', 'Azure']"
121,staff data scientist,integral ad science,['Remote'],3-8 yrs,"['Computer science', 'global operations', 'Computer vision', 'GCP', 'Neural networks', 'Machine learning', 'IAS', 'Analytics']"
122,data scientist,algoscale technologies private limited,['Noida'],3-8 yrs,"['IT Skills', 'Java', 'Python', 'Testing', 'Data Science', 'Machine Learning', 'Cloud', 'AWS']"
123,data scientist,beinex solutions llc.,['Kochi'],3-8 yrs,"['Machine Learning', 'Deep Learning', 'Python', 'IT Skills', 'Python', 'Data Science', 'Machine Learning', 'Tensorflow']"
124,data scientist- bio-technology/life science projects/chemometrics,biosense technologies pvt ltd,['Thane'],3-8 yrs,"['Multivariate Analysis', 'Spectroscopy', 'Time Series Analysis', 'Statistical Modeling', 'Raman', 'Data Modeling', 'Principal Component Analysis', 'Python']"
125,data scientist,happyhat solution pvt. ltd,"['Chennai', ' Bengaluru', ' Hyderabad']",3-8 yrs,"['IT Skills', 'Python', 'Data Science', 'Tableau', 'Data Science', 'R', 'Artificial Intelligence', 'Natural Language Processing']"
126,data analyst/data scientist/data engineer,datatheta,"['Chennai', ' Bengaluru', ' Hyderabad']",3-8 yrs,"['R', 'SQL Server', 'IT Skills', 'Python', 'work from home', 'Python']"
127,senior data scientist,bigshyft hiring for datamatics business solutions,['Mumbai'],3-8 yrs,"['Hive', 'Hadoop', 'Spark', 'Python', 'SQL']"
128,lead engineer - data scientist | ml | hyderabad | 8-12 years,kaizen sra technologies pvt. ltd.,['Hyderabad'],3-8 yrs,"['Machine Learning', 'Data Scientist', 'Python', 'IT Skills', 'Python', 'Cloud', 'AWS', 'Azure']"
129,data scientist,evalueserve,['Gurgaon'],3-8 yrs,"['Data Science', 'Artificial Intelligence', 'Natural Language Processing', 'Text Mining', 'Machine Learning', 'Python']"
130,sr. data scientist,job fittment finder,['Pune'],3-8 yrs,"['IT Skills', 'Python', 'Software Development', 'Testing', 'Data Science', 'Cloud', 'Elastic Search', 'AWS']"
131,lead data scientist,bigshyft hiring for rapido,['Bengaluru'],3-8 yrs,"['Hadoop', 'Statistical Modelling', 'Deep Learning', 'Python', 'SQL']"
132,lead - data scientist,catalyst,['Bengaluru'],3-8 yrs,"['IT Skills', 'Machine Learning', 'Big Data', 'Data Science', 'Data Scientist', 'Machine learning', 'Predictive', 'Time Series']"
133,lead - data scientist,bion,['Bengaluru'],3-8 yrs,"['IT Skills', 'Machine Learning', 'Big Data', 'Data Science', 'Data Scientist', 'Machine learning', 'Predictive', 'Time Series']"
134,lead - data scientist,bion,['Bengaluru'],3-8 yrs,"['IT Skills', 'Machine Learning', 'Big Data', 'Data Science', 'Data Scientist', 'Machine learning', 'Predictive', 'Time Series']"
135,lead - data scientist,bion,['Bengaluru'],3-8 yrs,"['IT Skills', 'Machine Learning', 'Big Data', 'Data Science', 'Data Scientist', 'Machine learning', 'Predictive', 'Time Series']"
136,principal data scientist,bigshyft hiring for get my parking,['Bengaluru'],3-8 yrs,"['R', 'Hive', 'Data Mining', 'Machine Learning ML', 'Python']"
137,data scientist,catalyst,['Bengaluru'],3-8 yrs,"['IT Skills', 'Machine Learning', 'Big Data', 'Data Science', 'NLP', 'Data Scientist', 'Machine learning', 'Predictive']"
138,ai engineer - data scientist data structures and algorithms,x equals to,['Bengaluru'],3-8 yrs,"['IT Skills', 'Python', 'Machine Learning', 'Artificial Intelligence', 'Data Structures', 'Text Processing Libraries', 'Object Oriented Programming', 'Machine Learning']"
139,data scientist - python/sql,catalyst,['Bengaluru'],3-8 yrs,"['IT Skills', 'Java', 'Python', 'Data Science', 'Machine Learning', 'Java', 'R', 'mathematical modelling']"
140,lead data scientist,catalyst,['Bengaluru'],2-2 yrs,"['IT Skills', 'Testing', 'Machine Learning', 'Data Science', 'Pattern Recognition', 'Artificial Intelligence AI', 'Image Processing', 'Computer Science']"
141,lead data scientist,catalyst,['Bengaluru'],2-2 yrs,"['IT Skills', 'Testing', 'Machine Learning', 'Data Science', 'Pattern Recognition', 'Artificial Intelligence AI', 'Image Processing', 'Computer Science']"
142,lead data scientist,bion,['Bengaluru'],2-2 yrs,"['IT Skills', 'Testing', 'Machine Learning', 'Data Science', 'Pattern Recognition', 'Artificial Intelligence AI', 'Image Processing', 'Computer Science']"
143,data scientist - python/r,catalyst,['Bengaluru'],2-2 yrs,"['IT Skills', 'Python', 'Testing', 'Data Science', 'R', 'Data Scientist', 'Data Management', 'product development']"
144,associate data scientist,bigshyft hiring for noodle.ai,['Bengaluru'],2-2 yrs,"['Spark', 'Statistical Modelling', 'Python']"
145,required data scientist(3) and associate data scientist (3),lotpick consulting services private limited,['Bengaluru'],2-2 yrs,"['IT Skills', 'Python', 'Machine Learning', 'Oracle', 'Azure', 'Predictive Modeling', 'Algorithms', 'Neural Networks']"
146,data scientist,job shop,['Bengaluru'],2-2 yrs,"['IT Skills', 'Python', 'Tableau', 'Data Validation', 'Logistic Regression', 'Report Generation', 'Linear Regression', 'Tableau']"
147,data scientist/analyst - machine learning/deep learning,echoindia,['Delhi'],2-2 yrs,"['IT Skills', 'Python', 'Machine Learning', 'Tableau', 'Power BI', 'ArcGIS', 'Google Maps', 'NLP']"
148,data scientist,bigshyft hiring for global gene corp,"['Mumbai', ' Ahmedabad']",2-2 yrs,"['NLP - Natural Language Processing', 'R', 'Data Mining', 'Machine Learning', 'Python']"
149,associate nlp & text mining data scientist,valence health,['Pune'],2-2 yrs,"['IT Skills', 'Java', 'Python', 'Testing', 'Cloud', 'Big Data', 'AWS', 'Azure']"
150,urgent hiring i expert data scientist for canada/australia/germany,basics of immigration consultant services llp,"['Hong Kong', ' Canada']",2-2 yrs,"['IT Skills', 'Java', 'Python', 'Data Science', 'Tableau', 'tl data scientist', 'data analysis', 'data mining']"
151,urgent hiring i expert data scientist for canada,basics of immigration consultant services llp,['Canada'],2-2 yrs,"['Data Science', 'Java', 'R', 'Algorithms', 'data', 'Hadoop', 'Data Analysis', 'Data Mining']"
152,big data engineer / data scientist,advance talent services,['Delhi NCR'],2-2 yrs,"['IT Skills', 'Python', 'Data Science', 'Project Management', 'Big Data', 'Tableau', 'BPO', 'project management']"
153,senior scientist/nlp/machine learning/data mining professional,career maker,['Bengaluru'],2-2 yrs,"['IT Skills', 'Java', 'Python', 'Software Development', 'Machine Learning', 'Java', 'C++', 'R']"
154,data scientist,bayer,['Bengaluru'],2-2 yrs,"['Data Science', 'Predictive Modeling', 'R', 'Genomics', 'operations research', 'AI', 'Genetics', 'Machine Learning']"
155,data scientist - python/ r,catalyst,['Bengaluru'],2-2 yrs,"['IT Skills', 'Python', 'Testing', 'Product Development', 'Quantitative Analysis', 'Computer Science', 'Senior Management', 'Product Engineering']"
156,data scientist,angel & genie,['Bengaluru'],2-2 yrs,"['Prototype', 'Control system', 'Postgresql', 'Agile', 'Business intelligence', 'Information technology', 'Analytics', 'SQL']"
157,data scientist,d-cube analytics private limited,"['Chennai', ' Bengaluru']",2-2 yrs,"['Algorithms', 'Machine Learning', 'Python', 'IT Skills', 'Python', 'Machine Learning', 'Cloud', 'AWS']"
158,data scientist (ml and time series techniques for forecasting),core compete pvt. ltd.,"['Pune', ' Hyderabad(Gachibowli)']",2-2 yrs,"['Time Series Analysis', 'Machine Learning', 'Python', 'IT Skills', 'Python', 'Machine Learning', 'Tensorflow', 'Matplotlib']"
159,data scientist predictive modelling,symmetrical global search pvt ltd,['Bengaluru'],2-2 yrs,"['Data modeling', 'Coding', 'E-commerce', 'Predictive modeling', 'HTML', 'HR']"
160,data scientist,d-cube analytics private limited,"['Chennai', ' Bengaluru']",3-8 yrs,"['Algorithms', 'Machine Learning', 'Python', 'IT Skills', 'Python', 'Machine Learning', 'Cloud', 'AWS']"
161,data scientist (ml and time series techniques for forecasting),core compete pvt. ltd.,"['Pune', ' Hyderabad(Gachibowli)']",3-8 yrs,"['Time Series Analysis', 'Machine Learning', 'Python', 'IT Skills', 'Python', 'Machine Learning', 'Tensorflow', 'Matplotlib']"
162,data scientist predictive modelling,symmetrical global search pvt ltd,['Bengaluru'],3-8 yrs,"['Data modeling', 'Coding', 'E-commerce', 'Predictive modeling', 'HTML', 'HR']"
163,data scientist,levi strauss & co.,['Bengaluru'],3-8 yrs,"['Supply chain', 'Computer science', 'Cloud computing', 'C++', 'Automation', 'Business process improvement', 'Analytical', 'FMCG']"
164,data scientist - 09,accenture,['Bengaluru'],3-8 yrs,"['IT Skills', 'Python', 'Networking', 'Consulting', 'Manager Technology', 'Business modeling', 'professional services', 'Python']"
165,data scientist,peoplekonnect,['Hyderabad'],3-8 yrs,"['IT Skills', 'Python', 'Machine Learning', 'Tableau', 'Pytorch', 'Predictive Modeling', 'R', 'NLP']"
166,analyst data scientist,camsdata technologies india pvt ltd,"['Chennai', ' Pune', ' Mumbai', ' Bengaluru', ' Hyderabad']",3-8 yrs,"['IT Skills', 'Python', 'Data Science', 'Machine Learning', 'Big Data', 'Computer science', 'Evaluation', 'Data analysis']"
167,data scientist,rgf professional recruitment india,['Mumbai'],3-8 yrs,"['data science', 'Analytical', 'Machine learning', 'Management', 'Business solutions', 'SQL', 'Python', 'Recruitment']"
168,data scientist,accenture,['Mumbai'],3-8 yrs,"['IT Skills', 'Python', 'Networking', 'Consulting', 'Manager Technology', 'Business modeling', 'professional services', 'Python']"
169,data scientist,trueview hr consulting pvt. ltd,['Pune'],3-8 yrs,"['IT Skills', 'Python', 'Tableau', 'R', 'Statistical Software', 'SAS', 'Factor Analysis', 'Web Technologies']"
170,avp - data scientist - kpo,elixir web solutions,['Gurgaon Gurugram'],3-8 yrs,"['Data Science', 'Data Scientist', 'Artificial Intelligence', 'Data Management', 'Data Analytics', 'Machine Learning', 'Statistics', 'Analytics']"
171,avp - data scientist - kpo,elixir web solutions,['Gurgaon Gurugram'],3-8 yrs,"['Data Science', 'Data Scientist', 'Artificial Intelligence', 'Data Management', 'Data Analytics', 'Machine Learning', 'Statistics', 'Analytics']"
172,data scientist - nlp/ml/python,elixir web solutions,['Gurgaon Gurugram'],3-8 yrs,"['IT Skills', 'Python', 'Machine Learning', 'Project Management', 'BPO', 'project management', 'NLP', 'Data Engineering']"
173,mgr - data scientist ( immediate joinees only _ 15 days ),pylon management consulting pvt ltd,"['Gurgaon', ' Noida']",3-8 yrs,"['Logistic Regression', 'Time Series Analysis', 'Cluster Analysis', 'deep learning', 'advanced analytics', 'python', 'client engagement', 'statistical modeling']"
174,data scientist - analytics & insights team - ecommerce/ food tech/,confidential,['Delhi NCR'],3-8 yrs,"['Data Science', 'Data Scientist', 'Statistical Modeling', 'Data Mining', 'Data Visualization', 'Data Modeling', 'Data Analytics', 'Statistics']"
175,data scientist/teaching associate - education,market scope,['Chennai'],3-8 yrs,"['Exploratory Data Analysis', 'Coaching', 'Academics', 'Use Cases', 'Education', 'Data Cleansing', 'Data Collection', 'Tableau']"
176,data scientist,keysite solutions executive search,['Chennai'],3-8 yrs,"['IT Skills', 'Python', 'Machine Learning', 'Artificial Intelligence', 'Data Scientist - Machine Learning', 'Python', 'Deep Learning', 'ML']"
177,data scientist,globalhunt india private limited,['Delhi'],3-8 yrs,"['GCP', 'Aiml', 'Keras', 'Data Analytics', 'Machine Learning', 'AWS', 'Scikit-Learn', 'Deep Learning']"
178,data scientist - hadoop/mapreduce,confidential,['India'],3-8 yrs,"['IT Skills', 'Java', 'Big Data', 'analytics', 'Java', 'predictive modeling', 'Hadoop', 'Data Management']"
179,principal data scientist,bigshyft hiring for directech labs,['Noida'],3-8 yrs,"['Statistical Modelling', 'Machine Learning', 'Python', 'SQL', 'Predictive Analytics']"
